Path,Problem,Format,Objective,Dataset,Number of jobs,Number of machines,Time limit,Best known solution value,Best known bound
taillard1993/tai20_5_0.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,5,4.5,14033,14033
taillard1993/tai20_5_1.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,5,4.5,15151,15151
taillard1993/tai20_5_2.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,5,4.5,13301,13301
taillard1993/tai20_5_3.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,5,4.5,15447,15447
taillard1993/tai20_5_4.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,5,4.5,13529,13529
taillard1993/tai20_5_5.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,5,4.5,13123,13123
taillard1993/tai20_5_6.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,5,4.5,13548,13548
taillard1993/tai20_5_7.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,5,4.5,13948,13948
taillard1993/tai20_5_8.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,5,4.5,14295,14295
taillard1993/tai20_5_9.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,5,4.5,12943,12943
taillard1993/tai20_10_0.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,10,9,20911,20911
taillard1993/tai20_10_1.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,10,9,22440,22440
taillard1993/tai20_10_2.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,10,9,19833,19833
taillard1993/tai20_10_3.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,10,9,18710,18710
taillard1993/tai20_10_4.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,10,9,18641,18641
taillard1993/tai20_10_5.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,10,9,19245,19245
taillard1993/tai20_10_6.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,10,9,18363,18363
taillard1993/tai20_10_7.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,10,9,20241,20241
taillard1993/tai20_10_8.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,10,9,20330,20330
taillard1993/tai20_10_9.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,10,9,21320,21320
taillard1993/tai20_20_0.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,20,18,33623,32409.65
taillard1993/tai20_20_1.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,20,18,31587,30439.51
taillard1993/tai20_20_2.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,20,18,33920,32695.65
taillard1993/tai20_20_3.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,20,18,31661,30540.21
